,Shot Number,Beam,Latitude,Longitude,Tandem-X DEM,Elevation (m),Canopy Elevation (m),Canopy Height (rh100),RH 98,RH 25,Quality Flag,Degrade Flag,Sensitivity
2726,4.126081060003785e+16,BEAM1000,-8.12863250571403,115.07297047861182,53.352787017822266,50.77686309814453,55.871910095214844,5.090000152587891,3.0299999713897705,-1.0800000429153442,1.0,0.0,0.9695014953613281
2727,4.126081080003785e+16,BEAM1000,-8.128212617068314,115.07327479067206,53.352787017822266,51.0114631652832,55.2073860168457,4.190000057220459,2.690000057220459,-1.0800000429153442,1.0,0.0,0.97480708360672
2728,4.126081100003785e+16,BEAM1000,-8.127793134468112,115.07357925818506,54.16093063354492,53.2981071472168,57.79373550415039,4.489999771118164,2.990000009536743,-1.340000033378601,1.0,0.0,0.968678891658783
2729,4.126081120003786e+16,BEAM1000,-8.127373506453848,115.07388365275054,56.59589385986328,54.84779357910156,61.70362854003906,6.849999904632568,3.740000009536743,-1.3799999952316284,1.0,0.0,0.9756667017936707
2730,4.126081140003786e+16,BEAM1000,-8.126953472201706,115.07418786482258,55.49576950073242,54.33845901489258,64.4910888671875,10.149999618530273,8.609999656677246,-0.28999999165534973,1.0,0.0,0.9736580848693848
2731,4.126081160003786e+16,BEAM1000,-8.126533455099361,115.07449206364485,55.49576950073242,53.89685821533203,66.85926055908203,12.960000038146973,10.520000457763672,-0.33000001311302185,1.0,0.0,0.9743114113807678
2732,4.126081180003786e+16,BEAM1000,-8.126113417069933,115.07479623063409,56.22319412231445,53.32483673095703,65.50050354003906,12.170000076293945,9.8100004196167,-0.33000001311302185,1.0,0.0,0.964586079120636
2733,4.126081200003786e+16,BEAM1000,-8.125693382665826,115.07510037367358,56.22319412231445,52.74346160888672,62.4839973449707,9.739999771118164,7.860000133514404,-1.0099999904632568,1.0,0.0,0.9749878644943237
2734,4.126081220003786e+16,BEAM1000,-8.125273434686607,115.07540452188883,53.13127517700195,52.55720138549805,62.297733306884766,9.739999771118164,7.599999904632568,-0.6700000166893005,1.0,0.0,0.9677999019622803
2735,4.126081240003786e+16,BEAM1000,-8.12485338366668,115.0757085953144,56.16164016723633,51.80585479736328,66.90367889404297,15.09000015258789,12.880000114440918,-0.25999999046325684,1.0,0.0,0.9799893498420715
2736,4.126081260003786e+16,BEAM1000,-8.124433518579835,115.07601270911415,52.22661209106445,51.94147872924805,62.31889343261719,10.369999885559082,8.84000015258789,-0.10999999940395355,1.0,0.0,0.9595343470573425
2737,4.126081280003786e+16,BEAM1000,-8.124013235747661,115.07631661335576,50.007022857666016,49.911033630371094,58.22795104980469,8.3100004196167,6.510000228881836,0.14000000059604645,1.0,0.0,0.9743049740791321
2738,4.1260813000037864e+16,BEAM1000,-8.123592783714658,115.07662040580252,46.90050506591797,46.95889663696289,56.99913787841797,10.039999961853027,8.350000381469727,-0.5199999809265137,1.0,0.0,0.9753254055976868
2739,4.1260813200037864e+16,BEAM1000,-8.12317283741712,115.07692435955845,46.90050506591797,46.48580551147461,54.24076843261719,7.75,6.059999942779541,-0.9300000071525574,1.0,0.0,0.9711602330207825
2740,4.1260813400037864e+16,BEAM1000,-8.122753622720657,115.07722856456839,48.93684768676758,49.627933502197266,54.685516357421875,5.050000190734863,3.819999933242798,-2.1700000762939453,1.0,0.0,0.9575179815292358
2741,4.1260813600037864e+16,BEAM1000,-8.12233374971241,115.07753244805721,48.93684768676758,49.358341217041016,57.15076446533203,7.789999961853027,6.210000038146973,-2.1700000762939453,1.0,0.0,0.9720180630683899
2742,4.1260813800037864e+16,BEAM1000,-8.12191346681066,115.07783610865947,47.379356384277344,46.92472839355469,56.964969635009766,10.039999961853027,8.649999618530273,-0.9300000071525574,1.0,0.0,0.9624353647232056
2743,4.1260814000037864e+16,BEAM1000,-8.121493901164294,115.078140005154,50.05358123779297,48.01322937011719,56.77970886230469,8.760000228881836,7.110000133514404,0.07000000029802322,1.0,0.0,0.9602558612823486
2744,4.1260814200037864e+16,BEAM1000,-8.121074374919525,115.07844385585051,49.2530632019043,49.19026565551758,55.446685791015625,6.25,4.829999923706055,-1.0099999904632568,1.0,0.0,0.9736180901527405
2745,4.126081440003787e+16,BEAM1000,-8.120654666015326,115.0787475672603,50.21262741088867,49.33015060424805,53.563533782958984,4.230000019073486,2.8399999141693115,-1.309999942779541,1.0,0.0,0.9756565093994141
2746,4.126081460003787e+16,BEAM1000,-8.120234878703497,115.07905117908504,48.29395294189453,48.953224182128906,52.774513244628906,3.819999933242798,2.619999885559082,-1.2699999809265137,1.0,0.0,0.9719164371490479
2747,4.126081480003787e+16,BEAM1000,-8.119815034283135,115.07935469673829,48.29395294189453,48.15975570678711,52.430606842041016,4.269999980926514,2.8399999141693115,-1.3799999952316284,1.0,0.0,0.9773761034011841
2748,4.126081500003787e+16,BEAM1000,-8.11939531691902,115.07965819193466,47.01393127441406,47.87007141113281,51.803749084472656,3.930000066757202,2.690000057220459,-1.3799999952316284,1.0,0.0,0.97415691614151
2749,4.126081520003787e+16,BEAM1000,-8.118975605081172,115.07996161274836,47.01393127441406,47.46510696411133,51.211463928222656,3.740000009536743,2.5799999237060547,-1.340000033378601,1.0,0.0,0.9736596345901489
2750,4.126081540003787e+16,BEAM1000,-8.118555542268298,115.08026481726614,44.61660385131836,45.1472282409668,49.86764144897461,4.71999979019165,3.2200000286102295,-1.309999942779541,1.0,0.0,0.9717963337898254
2751,4.126081560003787e+16,BEAM1000,-8.118134464527712,115.08056753702203,45.89533233642578,37.557373046875,50.032745361328125,12.470000267028809,10.039999961853027,-0.10999999940395355,1.0,0.0,0.9756436944007874
2752,4.126081580003787e+16,BEAM1000,-8.11771633676208,115.0808714000141,45.90138626098633,44.71099853515625,52.803131103515625,8.09000015258789,6.699999809265137,-1.2300000190734863,1.0,0.0,0.9647895693778992
2753,4.126081600003787e+16,BEAM1000,-8.117297793602415,115.08117503472171,45.90138626098633,49.62315368652344,54.68073654174805,5.050000190734863,3.4800000190734863,-2.0199999809265137,1.0,0.0,0.9639939665794373
2754,4.126081620003788e+16,BEAM1000,-8.11687808710945,115.08147813886471,50.56932067871094,48.51321029663086,60.72633743286133,12.210000038146973,10.899999618530273,1.4199999570846558,1.0,0.0,0.9622431993484497
2755,4.126081640003788e+16,BEAM1000,-8.116458453167088,115.0817812229321,50.56932067871094,47.618186950683594,55.33568572998047,7.710000038146973,5.880000114440918,-0.8600000143051147,1.0,0.0,0.9658754467964172
2756,4.126081660003788e+16,BEAM1000,-8.116039151969375,115.08208439882415,47.70428466796875,48.2531623840332,59.567161560058594,11.3100004196167,9.850000381469727,-0.10999999940395355,1.0,0.0,0.968917727470398
2757,4.126081680003788e+16,BEAM1000,-8.115619770160945,115.082387502603,47.70428466796875,48.33216857910156,56.23698425292969,7.900000095367432,6.400000095367432,-1.6100000143051147,1.0,0.0,0.9539086222648621
2758,4.126081700003788e+16,BEAM1000,-8.115200161227001,115.08269047805359,46.2692985534668,47.110198974609375,54.90262222290039,7.789999961853027,6.210000038146973,-2.130000114440918,1.0,0.0,0.9593039155006409
2759,4.126081720003788e+16,BEAM1000,-8.114779999113173,115.08299319725312,47.028690338134766,42.94353485107422,51.33537673950195,8.390000343322754,6.699999809265137,-0.4099999964237213,1.0,0.0,0.9630657434463501
2760,4.126081740003788e+16,BEAM1000,-8.114360639082303,115.08329621968399,44.98847579956055,42.67204666137695,52.150333404541016,9.470000267028809,8.270000457763672,1.6399999856948853,1.0,0.0,0.9585762023925781
2761,4.126081760003789e+16,BEAM1000,-8.113941436447503,115.08359928583174,44.98847579956055,43.03842544555664,56.07575225830078,13.029999732971191,11.720000267028809,2.059999942779541,1.0,0.0,0.9698384404182434
2762,4.126081780003789e+16,BEAM1000,-8.113522048600256,115.0839022607072,45.310176849365234,42.31410598754883,53.927818298339844,11.609999656677246,9.770000457763672,-0.25999999046325684,1.0,0.0,0.9665002226829529
2763,4.126081800003789e+16,BEAM1000,-8.113103802463531,115.08420569216796,45.310176849365234,47.19569778442383,55.88724899291992,8.6899995803833,6.929999828338623,-2.619999885559082,1.0,0.0,0.9722069501876831
2764,4.126081820003789e+16,BEAM1000,-8.11268380059072,115.08450839933975,45.77093505859375,43.05784225463867,57.03175735473633,13.970000267028809,12.729999542236328,1.0399999618530273,1.0,0.0,0.9615283608436584
2766,4.126081860003789e+16,BEAM1000,-8.111845597410612,115.08511455201239,45.99960708618164,43.391822814941406,57.777835845947266,14.380000114440918,13.029999732971191,4.940000057220459,1.0,0.0,0.9708913564682007
2767,4.126081880003789e+16,BEAM1000,-8.11142687664026,115.08541790933734,46.12044906616211,45.750877380371094,50.54621505737305,4.789999961853027,3.25,-1.7899999618530273,1.0,0.0,0.9565504193305969
